Year/Month/Day,Hour/Minute/Second,MPSAS,Temp(C),LunarAlt(deg),LunarPhase,Elapsed Time(min)
2/2/2017
2/2/2017,16:15:53,0,20.9,53.8,0.36,0
2/2/2017,16:20:25,0,20.9,54.2,0.36,5.53333
min MPSAS,max MPSAS,avg MPSAS,medn MPSAS,min Temp,max Temp
0,0,0,0,0,20.9,20.9,20.9,20.9,0,

2/2/2017 -- 2/3/2017
2/2/2017,19:38:5,19.12,13.8,47.7,0.37,0
2/2/2017,19:43:5,19.13,13.8,47,0.37,5.55
2/2/2017,19:48:5,19.08,13.5,46.3,0.37,11.1833
2/2/2017,19:53:5,19.06,13.5,45.5,0.37,16.9
2/2/2017,19:58:5,19.08,13.5,44.7,0.37,22.7
2/2/2017,20:3:5,19.1,13.2,44,0.37,28.5833
2/2/2017,20:8:5,19.1,13.2,43.2,0.37,33.6167
2/2/2017,20:13:5,19.08,12.8,42.4,0.37,38.6667
2/2/2017,20:18:5,19.14,12.8,41.5,0.37,43.8
2/2/2017,20:23:5,19.1,12.5,40.7,0.38,49.0167
2/2/2017,20:28:5,19.12,12.5,39.9,0.38,54.3167
2/2/2017,20:33:5,19.13,12.2,39,0.38,59.7
2/2/2017,20:38:5,19.11,12.2,38.2,0.38,65.1667
2/2/2017,20:43:5,19.13,12.2,37.3,0.38,70.7167
2/2/2017,20:48:5,19.13,12.2,36.5,0.38,76.35
2/2/2017,20:53:5,19.12,11.9,35.6,0.38,82.0667
2/2/2017,20:58:5,19.14,11.9,34.7,0.38,87.8667
2/2/2017,21:3:5,19.16,11.9,33.8,0.38,93.75
2/2/2017,21:8:5,19.16,11.9,32.9,0.38,98.7833
2/2/2017,21:13:5,19.14,11.6,32,0.38,103.833
2/2/2017,21:18:5,19.12,11.6,31.1,0.38,108.967
2/2/2017,21:23:5,19.14,11.6,30.2,0.38,114.183
2/2/2017,21:28:5,19.14,11.6,29.3,0.38,119.483
2/2/2017,21:33:5,19.15,11.6,28.4,0.38,124.867
2/2/2017,21:38:5,19.17,11.6,27.5,0.38,130.333
2/2/2017,21:43:5,19.16,11.2,26.5,0.38,135.883
2/2/2017,21:48:5,19.13,11.2,25.6,0.38,141.517
2/2/2017,21:53:5,19.14,11.2,24.7,0.38,147.233
2/2/2017,21:58:5,19.15,11.2,23.8,0.38,153.033
2/2/2017,22:3:5,19.12,11.2,22.8,0.38,158.917
2/2/2017,22:8:5,19.11,10.9,21.9,0.38,163.95
2/2/2017,22:13:5,19.08,10.9,21,0.38,169
2/2/2017,22:18:5,19.06,10.9,20,0.38,174.133
2/2/2017,22:23:5,19.08,10.9,19.1,0.38,179.35
2/2/2017,22:28:5,19.19,10.9,18.1,0.38,184.65
2/2/2017,22:33:5,19.19,10.9,17.2,0.38,190.033
2/2/2017,22:38:5,19.21,10.9,16.3,0.39,195.5
2/2/2017,22:43:5,19.18,10.9,15.3,0.39,201.05
2/2/2017,22:48:5,19.12,10.9,14.4,0.39,206.683
2/2/2017,22:53:5,19,10.9,13.4,0.39,212.4
2/2/2017,22:58:5,19.01,10.9,12.5,0.39,218.2
2/2/2017,23:3:5,19,10.9,11.6,0.39,224.083
2/2/2017,23:8:5,19,10.9,10.6,0.39,229.117
2/2/2017,23:13:5,19.12,10.9,9.7,0.39,234.167
2/2/2017,23:18:5,19.18,10.9,8.7,0.39,239.3
2/2/2017,23:23:5,19.22,10.9,7.8,0.39,244.517
2/2/2017,23:28:5,19.23,10.9,6.8,0.39,249.817
2/2/2017,23:33:5,19.28,10.9,5.9,0.39,255.2
2/2/2017,23:38:5,19.18,10.9,5,0.39,260.667
2/2/2017,23:43:5,19,10.6,4,0.39,266.217
2/2/2017,23:48:5,18.91,10.6,3.1,0.39,271.85
2/2/2017,23:53:5,18.9,10.6,2.2,0.39,277.567
2/2/2017,23:58:5,19.01,10.9,1.2,0.39,283.367
2/3/2017,0:3:5,18.99,10.9,0.3,0.39,289.25
2/3/2017,0:8:5,19.06,10.9,-0.6,0.39,294.283
2/3/2017,0:13:5,19.03,10.9,-1.5,0.39,299.333
2/3/2017,0:18:5,19.06,10.9,-2.5,0.39,304.467
2/3/2017,0:23:5,19.29,10.9,-3.4,0.39,309.683
2/3/2017,0:28:5,19.38,10.9,-4.3,0.39,314.983
2/3/2017,0:33:5,19.39,10.9,-5.2,0.39,320.367
2/3/2017,0:38:5,19.37,10.6,-6.1,0.39,325.833
2/3/2017,0:43:5,19.34,10.6,-7,0.39,331.383
2/3/2017,0:48:5,19.11,10.6,-7.9,0.4,337.017
2/3/2017,0:53:5,19.23,10.6,-8.8,0.4,342.733
2/3/2017,0:58:5,19.35,10.6,-9.7,0.4,348.533
2/3/2017,1:3:5,19.19,10.6,-10.6,0.4,354.417
2/3/2017,1:8:5,19.24,10.3,-11.5,0.4,359.45
2/3/2017,1:13:5,19.36,10.3,-12.4,0.4,364.5
2/3/2017,1:18:5,19.42,10.3,-13.3,0.4,369.633
2/3/2017,1:23:5,19.41,10.3,-14.1,0.4,374.85
2/3/2017,1:28:5,19.31,10.3,-15,0.4,380.15
2/3/2017,1:33:5,19.22,10.3,-15.9,0.4,385.533
2/3/2017,1:38:5,18.95,10.3,-16.7,0.4,391
2/3/2017,1:43:5,19.19,10.3,-17.6,0.4,396.55
2/3/2017,1:48:5,19.3,10.3,-18.4,0.4,402.183
2/3/2017,1:53:5,19.27,10.3,-19.2,0.4,407.9
2/3/2017,1:58:5,19.28,10.3,-20.1,0.4,413.7
2/3/2017,2:3:5,19.28,10.3,-20.9,0.4,419.583
2/3/2017,2:8:5,19.29,10.3,-21.7,0.4,424.617
2/3/2017,2:13:5,19.28,10.3,-22.5,0.4,429.667
min MPSAS,max MPSAS,avg MPSAS,medn MPSAS,min Temp,max Temp
18.9,19.42,19.1575,19.01,0.52,10.3,13.8,11.2625,10.9,3.5,

2/3/2017 -- 2/4/2017
2/3/2017,16:45:29,0,15.1,54.8,0.47,0
2/3/2017,17:55:30,7.19,11.9,61.6,0.48,10.25
2/3/2017,18:0:30,7.74,11.6,61.8,0.48,15.6667
2/3/2017,18:5:30,8.49,11.6,62,0.48,21.1667
2/3/2017,18:10:30,9.43,11.2,62.1,0.48,26.5833
2/3/2017,18:15:30,10.54,10.9,62.2,0.48,31.9167
2/3/2017,18:20:30,11.69,10.9,62.3,0.48,37.1667
2/3/2017,18:25:30,12.94,10.6,62.3,0.48,42.3333
2/3/2017,18:30:30,14.24,10.6,62.3,0.48,47.4167
2/3/2017,18:35:30,15.43,10.3,62.2,0.48,52.4167
2/3/2017,18:40:30,16.42,10.3,62.1,0.48,57.5
2/3/2017,18:45:30,17.21,10.3,61.9,0.48,62.6667
2/3/2017,18:50:30,17.8,10.3,61.7,0.48,67.9167
2/3/2017,18:55:30,18.21,9.9,61.5,0.48,73.25
2/3/2017,19:0:30,18.44,9.9,61.2,0.48,78.6667
2/3/2017,19:5:30,18.54,9.9,60.9,0.48,84.1667
2/3/2017,19:10:30,18.61,9.9,60.6,0.48,89.5833
2/3/2017,19:15:30,18.64,9.9,60.2,0.48,94.9167
2/3/2017,19:20:30,18.65,9.9,59.7,0.48,100.167
2/3/2017,19:25:30,18.68,9.6,59.3,0.48,105.333
2/3/2017,19:30:30,18.69,9.6,58.8,0.48,110.417
2/3/2017,19:35:30,18.71,9.6,58.3,0.48,115.417
2/3/2017,19:40:30,18.73,9.6,57.7,0.48,120.5
