Produced by SQM Reader Pro 2.2.0.0
Year/Month/Day,Hour/Minute/Second,MPSAS,NELM,SerialNo,Protocol,Model,Feature,Temp(C),EncOffset,SolarAlt(deg),LunarAlt(deg),LunarPhase
2017/02/02,16:15:53,0,-13.7,00002682,00000004,00000003,00000026,20.9,0,16.7,53.8,0.36
2017/02/02,16:20:25,0,-13.7,00002682,00000004,00000003,00000026,20.9,0,16.0,54.2,0.36
2017/02/02,16:23:04,0,-13.7,00002682,00000004,00000003,00000026,21.2,0,15.5,54.5,0.36
2017/02/02,19:33:05,19.11,4.9,00002682,00000004,00000003,00000026,13.8,0,-18.9,48.5,0.37
2017/02/02,19:38:05,19.12,4.9,00002682,00000004,00000003,00000026,13.8,0,-19.9,47.7,0.37
2017/02/02,19:43:05,19.13,4.9,00002682,00000004,00000003,00000026,13.8,0,-20.9,47.0,0.37
2017/02/02,19:48:05,19.08,4.8,00002682,00000004,00000003,00000026,13.5,0,-21.9,46.3,0.37
2017/02/02,19:53:05,19.06,4.8,00002682,00000004,00000003,00000026,13.5,0,-22.8,45.5,0.37
2017/02/02,19:58:05,19.08,4.8,00002682,00000004,00000003,00000026,13.5,0,-23.8,44.7,0.37
2017/02/02,20:03:05,19.1,4.8,00002682,00000004,00000003,00000026,13.2,0,-24.8,44.0,0.37
2017/02/02,20:08:05,19.1,4.8,00002682,00000004,00000003,00000026,13.2,0,-25.8,43.2,0.37
2017/02/02,20:13:05,19.08,4.8,00002682,00000004,00000003,00000026,12.8,0,-26.8,42.4,0.37
2017/02/02,20:18:05,19.14,4.9,00002682,00000004,00000003,00000026,12.8,0,-27.8,41.5,0.37
2017/02/02,20:23:05,19.1,4.8,00002682,00000004,00000003,00000026,12.5,0,-28.7,40.7,0.38
2017/02/02,20:28:05,19.12,4.9,00002682,00000004,00000003,00000026,12.5,0,-29.7,39.9,0.38
2017/02/02,20:33:05,19.13,4.9,00002682,00000004,00000003,00000026,12.2,0,-30.7,39.0,0.38
2017/02/02,20:38:05,19.11,4.9,00002682,00000004,00000003,00000026,12.2,0,-31.7,38.2,0.38
2017/02/02,20:43:05,19.13,4.9,00002682,00000004,00000003,00000026,12.2,0,-32.7,37.3,0.38
2017/02/02,20:48:05,19.13,4.9,00002682,00000004,00000003,00000026,12.2,0,-33.6,36.5,0.38
2017/02/02,20:53:05,19.12,4.9,00002682,00000004,00000003,00000026,11.9,0,-34.6,35.6,0.38
2017/02/02,20:58:05,19.14,4.9,00002682,00000004,00000003,00000026,11.9,0,-35.6,34.7,0.38
2017/02/02,21:03:05,19.16,4.9,00002682,00000004,00000003,00000026,11.9,0,-36.6,33.8,0.38
2017/02/02,21:08:05,19.16,4.9,00002682,00000004,00000003,00000026,11.9,0,-37.5,32.9,0.38
2017/02/02,21:13:05,19.14,4.9,00002682,00000004,00000003,00000026,11.6,0,-38.5,32.0,0.38
2017/02/02,21:18:05,19.12,4.9,00002682,00000004,00000003,00000026,11.6,0,-39.5,31.1,0.38
2017/02/02,21:23:05,19.14,4.9,00002682,00000004,00000003,00000026,11.6,0,-40.4,30.2,0.38
2017/02/02,21:28:05,19.14,4.9,00002682,00000004,00000003,00000026,11.6,0,-41.4,29.3,0.38
2017/02/02,21:33:05,19.15,4.9,00002682,00000004,00000003,00000026,11.6,0,-42.4,28.4,0.38
2017/02/02,21:38:05,19.17,4.9,00002682,00000004,00000003,00000026,11.6,0,-43.3,27.5,0.38
2017/02/02,21:43:05,19.16,4.9,00002682,00000004,00000003,00000026,11.2,0,-44.3,26.5,0.38
2017/02/02,21:48:05,19.13,4.9,00002682,00000004,00000003,00000026,11.2,0,-45.2,25.6,0.38
2017/02/02,21:53:05,19.14,4.9,00002682,00000004,00000003,00000026,11.2,0,-46.1,24.7,0.38
2017/02/02,21:58:05,19.15,4.9,00002682,00000004,00000003,00000026,11.2,0,-47.1,23.8,0.38
2017/02/02,22:03:05,19.12,4.9,00002682,00000004,00000003,00000026,11.2,0,-48.0,22.8,0.38
2017/02/02,22:08:05,19.11,4.9,00002682,00000004,00000003,00000026,10.9,0,-48.9,21.9,0.38
2017/02/02,22:13:05,19.08,4.8,00002682,00000004,00000003,00000026,10.9,0,-49.8,21.0,0.38
2017/02/02,22:18:05,19.06,4.8,00002682,00000004,00000003,00000026,10.9,0,-50.8,20.0,0.38
2017/02/02,22:23:05,19.08,4.8,00002682,00000004,00000003,00000026,10.9,0,-51.7,19.1,0.38
2017/02/02,22:28:05,19.19,4.9,00002682,00000004,00000003,00000026,10.9,0,-52.5,18.1,0.38
2017/02/02,22:33:05,19.19,4.9,00002682,00000004,00000003,00000026,10.9,0,-53.4,17.2,0.38
2017/02/02,22:38:05,19.21,4.9,00002682,00000004,00000003,00000026,10.9,0,-54.3,16.3,0.39
2017/02/02,22:43:05,19.18,4.9,00002682,00000004,00000003,00000026,10.9,0,-55.1,15.3,0.39
2017/02/02,22:48:05,19.12,4.9,00002682,00000004,00000003,00000026,10.9,0,-56.0,14.4,0.39
2017/02/02,22:53:05,19,4.8,00002682,00000004,00000003,00000026,10.9,0,-56.8,13.4,0.39
2017/02/02,22:58:05,19.01,4.8,00002682,00000004,00000003,00000026,10.9,0,-57.6,12.5,0.39
2017/02/02,23:03:05,19,4.8,00002682,00000004,00000003,00000026,10.9,0,-58.4,11.6,0.39
2017/02/02,23:08:05,19,4.8,00002682,00000004,00000003,00000026,10.9,0,-59.2,10.6,0.39
2017/02/02,23:13:05,19.12,4.9,00002682,00000004,00000003,00000026,10.9,0,-60.0,9.7,0.39
2017/02/02,23:18:05,19.18,4.9,00002682,00000004,00000003,00000026,10.9,0,-60.7,8.7,0.39
2017/02/02,23:23:05,19.22,4.9,00002682,00000004,00000003,00000026,10.9,0,-61.5,7.8,0.39
2017/02/02,23:28:05,19.23,4.9,00002682,00000004,00000003,00000026,10.9,0,-62.1,6.8,0.39
2017/02/02,23:33:05,19.28,5.0,00002682,00000004,00000003,00000026,10.9,0,-62.8,5.9,0.39
2017/02/02,23:38:05,19.18,4.9,00002682,00000004,00000003,00000026,10.9,0,-63.5,5.0,0.39
2017/02/02,23:43:05,19,4.8,00002682,00000004,00000003,00000026,10.6,0,-64.1,4.0,0.39
2017/02/02,23:48:05,18.91,4.7,00002682,00000004,00000003,00000026,10.6,0,-64.7,3.1,0.39
2017/02/02,23:53:05,18.9,4.7,00002682,00000004,00000003,00000026,10.6,0,-65.2,2.2,0.39
2017/02/02,23:58:05,19.01,4.8,00002682,00000004,00000003,00000026,10.9,0,-65.7,1.2,0.39
2017/02/03,00:03:05,18.99,4.8,00002682,00000004,00000003,00000026,10.9,0,-66.2,0.3,0.39
2017/02/03,00:08:05,19.06,4.8,00002682,00000004,00000003,00000026,10.9,0,-66.6,-0.6,0.39
2017/02/03,00:13:05,19.03,4.8,00002682,00000004,00000003,00000026,10.9,0,-67.0,-1.5,0.39
2017/02/03,00:18:05,19.06,4.8,00002682,00000004,00000003,00000026,10.9,0,-67.3,-2.5,0.39
2017/02/03,00:23:05,19.29,5.0,00002682,00000004,00000003,00000026,10.9,0,-67.6,-3.4,0.39
2017/02/03,00:28:05,19.38,5.1,00002682,00000004,00000003,00000026,10.9,0,-67.9,-4.3,0.39
2017/02/03,00:33:05,19.39,5.1,00002682,00000004,00000003,00000026,10.9,0,-68.0,-5.2,0.39
2017/02/03,00:38:05,19.37,5.1,00002682,00000004,00000003,00000026,10.6,0,-68.2,-6.1,0.39
2017/02/03,00:43:05,19.34,5.0,00002682,00000004,00000003,00000026,10.6,0,-68.2,-7.0,0.39
2017/02/03,00:48:05,19.11,4.9,00002682,00000004,00000003,00000026,10.6,0,-68.3,-7.9,0.40
2017/02/03,00:53:05,19.23,4.9,00002682,00000004,00000003,00000026,10.6,0,-68.2,-8.8,0.40
2017/02/03,00:58:05,19.35,5.0,00002682,00000004,00000003,00000026,10.6,0,-68.1,-9.7,0.40
2017/02/03,01:03:05,19.19,4.9,00002682,00000004,00000003,00000026,10.6,0,-68.0,-10.6,0.40
2017/02/03,01:08:05,19.24,5.0,00002682,00000004,00000003,00000026,10.3,0,-67.8,-11.5,0.40
2017/02/03,01:13:05,19.36,5.0,00002682,00000004,00000003,00000026,10.3,0,-67.6,-12.4,0.40
2017/02/03,01:18:05,19.42,5.1,00002682,00000004,00000003,00000026,10.3,0,-67.3,-13.3,0.40
2017/02/03,01:23:05,19.41,5.1,00002682,00000004,00000003,00000026,10.3,0,-66.9,-14.1,0.40
2017/02/03,01:28:05,19.31,5.0,00002682,00000004,00000003,00000026,10.3,0,-66.5,-15.0,0.40
2017/02/03,01:33:05,19.22,4.9,00002682,00000004,00000003,00000026,10.3,0,-66.1,-15.9,0.40
2017/02/03,01:38:05,18.95,4.7,00002682,00000004,00000003,00000026,10.3,0,-65.6,-16.7,0.40
2017/02/03,01:43:05,19.19,4.9,00002682,00000004,00000003,00000026,10.3,0,-65.1,-17.6,0.40
2017/02/03,01:48:05,19.3,5.0,00002682,00000004,00000003,00000026,10.3,0,-64.5,-18.4,0.40
2017/02/03,01:53:05,19.27,5.0,00002682,00000004,00000003,00000026,10.3,0,-63.9,-19.2,0.40
2017/02/03,01:58:05,19.28,5.0,00002682,00000004,00000003,00000026,10.3,0,-63.3,-20.1,0.40
2017/02/03,02:03:05,19.28,5.0,00002682,00000004,00000003,00000026,10.3,0,-62.7,-20.9,0.40
2017/02/03,02:08:05,19.29,5.0,00002682,00000004,00000003,00000026,10.3,0,-62.0,-21.7,0.40
2017/02/03,02:13:05,19.28,5.0,00002682,00000004,00000003,00000026,10.3,0,-61.3,-22.5,0.40
2017/02/03,02:18:05,19.29,5.0,00002682,00000004,00000003,00000026,10.3,0,-60.6,-23.3,0.40
2017/02/03,13:15:59,0,-13.7,00002682,00000004,00000003,00000026,19.3,0,35.1,17.8,0.45
2017/02/03,16:45:29,0,-13.7,00002682,00000004,00000003,00000026,15.1,0,12.1,54.8,0.47
2017/02/03,17:55:30,7.19,-6.5,00002682,00000004,00000003,00000026,11.9,0,-0.2,61.6,0.48
2017/02/03,18:00:30,7.74,-5.9,00002682,00000004,00000003,00000026,11.6,0,-1.1,61.8,0.48
2017/02/03,18:05:30,8.49,-5.2,00002682,00000004,00000003,00000026,11.6,0,-2.0,62.0,0.48
2017/02/03,18:10:30,9.43,-4.2,00002682,00000004,00000003,00000026,11.2,0,-2.9,62.1,0.48
2017/02/03,18:15:30,10.54,-3.1,00002682,00000004,00000003,00000026,10.9,0,-3.9,62.2,0.48
2017/02/03,18:20:30,11.69,-2.0,00002682,00000004,00000003,00000026,10.9,0,-4.8,62.3,0.48
2017/02/03,18:25:30,12.94,-0.8,00002682,00000004,00000003,00000026,10.6,0,-5.7,62.3,0.48
2017/02/03,18:30:30,14.24,0.5,00002682,00000004,00000003,00000026,10.6,0,-6.7,62.3,0.48
2017/02/03,18:35:30,15.43,1.7,00002682,00000004,00000003,00000026,10.3,0,-7.6,62.2,0.48
2017/02/03,18:40:30,16.42,2.6,00002682,00000004,00000003,00000026,10.3,0,-8.6,62.1,0.48
2017/02/03,18:45:30,17.21,3.3,00002682,00000004,00000003,00000026,10.3,0,-9.5,61.9,0.48
2017/02/03,18:50:30,17.8,3.8,00002682,00000004,00000003,00000026,10.3,0,-10.5,61.7,0.48
2017/02/03,18:55:30,18.21,4.1,00002682,00000004,00000003,00000026,9.9,0,-11.5,61.5,0.48
2017/02/03,19:00:30,18.44,4.3,00002682,00000004,00000003,00000026,9.9,0,-12.4,61.2,0.48
2017/02/03,19:05:30,18.54,4.4,00002682,00000004,00000003,00000026,9.9,0,-13.4,60.9,0.48
2017/02/03,19:10:30,18.61,4.5,00002682,00000004,00000003,00000026,9.9,0,-14.4,60.6,0.48
2017/02/03,19:15:30,18.64,4.5,00002682,00000004,00000003,00000026,9.9,0,-15.3,60.2,0.48
2017/02/03,19:20:30,18.65,4.5,00002682,00000004,00000003,00000026,9.9,0,-16.3,59.7,0.48
2017/02/03,19:25:30,18.68,4.5,00002682,00000004,00000003,00000026,9.6,0,-17.3,59.3,0.48
2017/02/03,19:30:30,18.69,4.5,00002682,00000004,00000003,00000026,9.6,0,-18.2,58.8,0.48
2017/02/03,19:35:30,18.71,4.5,00002682,00000004,00000003,00000026,9.6,0,-19.2,58.3,0.48
2017/02/03,19:40:30,18.73,4.6,00002682,00000004,00000003,00000026,9.6,0,-20.2,57.7,0.48
2017/02/03,19:45:30,18.75,4.6,00002682,00000004,00000003,00000026,9.6,0,-21.2,57.2,0.48
